zip_code,population,income,price,crime,metro,avg_income,crime_rate,Borough
11239,13393,235674,-1,75,0,17.5968043,0.00559994,Brooklyn
11354,54878,953897,497,437,10,17.38213856,0.007963118,Queens
11355,85871,1240366,483,394,0,14.44452726,0.004588278,Queens
11356,23438,451063,435,111,0,19.24494411,0.004735899,Queens
11357,39150,1409042,522,145,0,35.99085568,0.003703704,Queens
11358,37546,936393,474,147,0,24.93988707,0.003915197,Queens
11359,0,-1,-1,0,0,-1,-1,Queens
11360,18884,772189,485,85,0,40.89117772,0.004501165,Queens
11361,28606,810753,510,155,0,28.34206111,0.005418444,Queens
11362,17823,604640,497,6,0,33.92470403,0.000336644,Queens
11363,6988,355595,544,20,0,50.88651975,0.002862049,Queens
11364,34555,1035265,510,125,0,29.95991897,0.003617422,Queens
11365,42252,1020905,484,193,0,24.16228818,0.004567831,Queens
11366,13532,401878,509,62,0,29.69834466,0.004581732,Queens
11367,41047,984217,405,178,0,23.97780593,0.004336492,Queens
11368,109931,1165306,486,759,13,10.60034021,0.006904331,Queens
11369,38615,542296,372,295,0,14.04366179,0.007639518,Queens
11370,39688,491125,-1,0,0,12.37464725,0,Queens
11372,66636,1274752,400,486,10,19.13007984,0.007293355,Queens
11373,100820,1421394,445,659,19,14.09833366,0.006536402,Queens
11374,43600,1146082,452,156,6,26.2862844,0.003577982,Queens
11375,68733,2755827,539,284,15,40.09467068,0.004131931,Queens
11377,89830,1530032,457,449,15,17.03252811,0.00499833,Queens
11378,34981,777966,427,205,0,22.23967297,0.005860324,Queens
11379,34821,1010389,443,138,0,29.01665662,0.003963126,Queens
11385,98592,1791210,383,657,13,18.16790409,0.006663827,Queens
11411,18556,491099,311,157,0,26.46577926,0.008460875,Queens
11412,34882,704992,273,255,0,20.21076773,0.007310361,Queens
11413,38912,893148,289,385,0,22.9530222,0.00989412,Queens
11414,26148,774280,297,176,4,29.61144256,0.006730916,Queens
11415,19341,527211,390,82,4,27.25872499,0.004239698,Queens
11416,24861,361439,333,184,2,14.53839347,0.00740115,Queens
11417,28967,546134,340,263,16,18.85366106,0.009079297,Queens
11418,36256,625652,331,356,11,17.25650927,0.009819064,Queens
11419,47211,726811,323,379,8,15.39495033,0.00802779,Queens
11420,44354,774780,333,415,0,17.46809758,0.009356541,Queens
11421,39127,691448,322,286,7,17.67188898,0.007309531,Queens
11422,30425,692049,302,212,0,22.74606409,0.006967954,Queens
11423,29987,623483,319,241,0,20.79177644,0.008036816,Queens
11426,17590,504462,383,100,0,28.67890847,0.005685048,Queens
11427,23593,601664,369,131,0,25.50180138,0.005552494,Queens
11428,19168,433963,334,145,0,22.63997287,0.007564691,Queens
11429,25105,496960,294,167,0,19.79525991,0.006652061,Queens
11432,60809,1097124,410,614,1,18.04213192,0.01009719,Queens
11433,32687,481267,299,349,4,14.72349864,0.010677028,Queens
11434,59129,1174304,304,633,0,19.86003484,0.010705407,Queens
11435,53687,919179,343,434,12,17.12107214,0.008083894,Queens
11436,17949,314322,335,144,0,17.51195053,0.008022731,Queens
11691,60035,787092,262,615,12,13.11055218,0.010244024,Queens
11692,18540,279923,234,177,10,15.09832794,0.009546926,Queens
11693,11916,257586,280,126,5,21.61681772,0.010574018,Queens
11694,20408,667341,364,114,9,32.6999706,0.005586045,Queens
11697,4079,173868,-1,16,0,42.62515322,0.00392253,Queens
