ZIP code,Adjusted gross income (AGI),year
12205,731813,2011
12206,215780,2011
12207,17861,2011
12208,526777,2011
12209,215745,2011
12210,164533,2011
12211,746473,2011
12302,841481,2011
12303,817767,2011
12304,396735,2011
12305,58810,2011
12306,676081,2011
12307,57037,2011
12308,243327,2011
12309,1274771,2011
12401,745603,2011
12404,88041,2011
12405,14012,2011
12406,10691,2011
12407,4222,2011
12409,34644,2011
12410,8552,2011
12411,12169,2011
12412,17060,2011
12413,57876,2011
12414,220791,2011
12416,3784,2011
12418,10868,2011
12419,23128,2011
12421,9620,2011
12422,6174,2011
12423,20512,2011
12424,4890,2011
12427,8273,2011
12428,105300,2011
12430,19477,2011
12431,33138,2011
12433,11994,2011
12434,11417,2011
12435,8596,2011
12439,7466,2011
12440,54096,2011
12442,24695,2011
12443,143667,2011
12444,7708,2011
12446,108008,2011
12448,4923,2011
12449,77894,2011
12451,36914,2011
12454,6752,2011
12455,32942,2011
12456,16476,2011
12457,17206,2011
12458,46481,2011
12460,5888,2011
12461,41601,2011
12463,36258,2011
12464,19466,2011
12465,3654,2011
12466,82789,2011
12468,20161,2011
12469,14700,2011
12470,8708,2011
12472,38440,2011
12473,19735,2011
12474,28112,2011
12477,470099,2011
12480,11156,2011
12481,37784,2011
12482,14294,2011
12484,96606,2011
12485,19905,2011
12486,42665,2011
12487,78051,2011
12491,58989,2011
12492,7066,2011
12494,22597,2011
12495,9932,2011
12496,33179,2011
12498,187209,2011
12501,62905,2011
12502,34665,2011
12503,20989,2011
12508,448840,2011
12513,42860,2011
12514,108098,2011
12515,40548,2011
12516,35865,2011
12517,8794,2011
12518,219841,2011
12520,135177,2011
12521,39195,2011
12522,116715,2011
12523,41365,2011
12524,511667,2011
12525,126571,2011
12526,104534,2011
12528,379192,2011
12529,64881,2011
12531,126000,2011
12533,1011718,2011
12534,335307,2011
12538,375681,2011
12540,343957,2011
12542,181589,2011
12543,67959,2011
12545,239993,2011
12546,87193,2011
12547,86912,2011
12548,42739,2011
12549,328126,2011
12550,1219734,2011
12553,694233,2011
12561,464485,2011
12563,243512,2011
12564,269871,2011
12565,31350,2011
12566,272365,2011
12567,99692,2011
12569,340312,2011
12570,287714,2011
12571,309116,2011
12572,442837,2011
12575,80743,2011
12577,74616,2011
12578,87236,2011
12580,136572,2011
12581,68779,2011
12582,178967,2011
12583,60219,2011
12585,29639,2011
12586,337842,2011
12589,376178,2011
12590,1115881,2011
12592,31140,2011
12594,105792,2011
12601,780273,2011
12603,1373924,2011
12701,169923,2011
12719,22992,2011
12720,13483,2011
12721,161634,2011
12723,36792,2011
12725,7078,2011
12726,26387,2011
12729,37334,2011
12732,19781,2011
12733,8158,2011
12734,22204,2011
12737,42454,2011
12738,5515,2011
12740,51055,2011
12741,7055,2011
12742,8019,2011
12743,7221,2011
12745,5121,2011
12746,26708,2011
12747,33783,2011
12748,48023,2011
12750,4120,2011
12751,14098,2011
12752,6680,2011
12754,125074,2011
12758,79413,2011
12759,22703,2011
12760,10083,2011
12762,13205,2011
12763,17631,2011
12764,32890,2011
12765,24063,2011
12766,6379,2011
12768,20493,2011
12770,5210,2011
12771,287769,2011
12775,88261,2011
12776,40422,2011
12777,24051,2011
12779,38950,2011
12780,55964,2011
12783,25422,2011
12786,21028,2011
12787,11449,2011
12788,44355,2011
12789,32494,2011
12790,108190,2011
12791,17970,2011
12792,9760,2011
12801,311016,2011
12803,172948,2011
12804,797104,2011
12808,8281,2011
12809,76142,2011
12810,11456,2011
12814,51220,2011
12815,26875,2011
12816,95177,2011
12817,52214,2011
